FID,Vial No,Raw ID,Raw ID,,TBC,Log10TBC,TSA,Log10TSA,TNAS,Log10TNAS,TEC,Log10TEC,TBC/mL,TSA/mL,TNAS/mL,TEC/mL,Bacterial isolation,S. aureus,C. Jejuni,E. coli,E. coli O157,E. coli O157 EAE,E. coli O157 STX1,E. coli O157 STX2,Listeria monocytogenes,Salmonella enterobacter,Yersinia enterocolitica,T_rearing,T_rearing1,District,Season,Season1,Fre_clean,Container,Container1,,Type_trader1,Type_trader2,Type_trader3,Nature_milk1,Nature_milk2,How_clean2,How_clean3,Sc_clean2,Use_brush,Dry_cont,How_dry,How_dry1,Cont_upside
248,66,181,66,,"290,909",5.464,,,64545,4.810,182,2.260,"290,000",0,"1,000",200,,0,0,1,0,0,0,0,1,0,0,4,1,Noakhali,Summer,2,1,Plastic,0,,5 on farm,0,0,1-Cow-buffalo mix milk,1,Tubewell water with detergents,0,3,1,1,0,0,1
250,60,164,60,,"581,818",5.765,,,5455,3.737,818,2.913,"640,000",0,60,900,,0,0,1,0,0,0,0,0,0,0,1,1,Noakhali,Summer,2,1,Plastic,0,,4,0,0,Buffalo milk,0,Tubewell water,0,3,0,0,,,0
251,61,165,61,,"654,545",5.816,,,"200,000",5.301,182,2.260,"720,000","2,000","4,000",200,,0,0,1,0,0,0,0,0,0,0,1,1,Noakhali,Summer,2,1,Plastic,0,,4,0,0,Buffalo milk,0,Tubewell water,0,3,0,0,,,0
254,59,161,59,,"169,091",5.228,,,16364,4.214,364,2.561,"186,000",0,700,400,,0,0,1,0,0,0,0,1,0,0,4,1,Noakhali,Summer,2,2,Aluminium,1,,3,1,1,1-Cow-buffalo mix milk,1,Tubewell water with detergents,0,2,1,1,0,0,1
255,62,169,62,,"18,636,364",7.270,,,"500,000",5.699,,,"20,500,000",10,600,0,,0,0,1,0,0,0,0,0,0,0,1,1,Noakhali,Summer,2,1,Plastic,0,,3,1,1,1-Cow-buffalo mix milk,1,Pond water,1,3,1,1,0,0,1
259,64,175,64,,"4,636",3.666,4545,3.658,1818,3.260,,,"51,000",50,20,0,,0,0,1,0,0,0,0,0,0,0,4,1,Noakhali,Summer,2,2,Plastic,0,,3,1,1,Buffalo milk,0,Tubewell water,0,1,1,1,0,0,1
260,57,158,57,,"618,182",5.791,,,181818,5.260,91,1.959,"680,000",0,"1,900",100,,1,0,1,1,0,0,1,0,0,0,4,1,Noakhali,Summer,2,2,Aluminium,1,,"1,3",1,1,Buffalo milk,0,Tubewell water with detergents,0,2,1,1,0,0,0
265,58,160,58,,"1,254,545",6.098,,,"45,455",4.658,,,"1,380,000",0,500,0,,0,0,0,0,0,0,0,0,0,0,1,1,Noakhali,Summer,2,1,Plastic,0,,1,2,1,1-Cow-buffalo mix milk,1,Pond water,1,1,1,1,0,0,1
269,67,183,67,,"4,909,091",6.691,,,6090909,6.785,,,"5,400,000",0,"70,000",0,,0,0,1,0,0,0,0,0,0,0,4,1,Noakhali,Summer,2,2,Plastic,0,,3,1,1,1-Cow-buffalo mix milk,1,Pond water,1,3,1,1,2,1,1
271,69,188,69,,"4,363,636",6.640,,,3454545,6.538,,,"4,800,000",0,"38,000",100,,0,0,1,1,0,0,1,1,0,0,4,1,Noakhali,Summer,2,2,Plastic,0,,3,1,1,1-Cow-buffalo mix milk,1,Pond water,1,3,1,1,2,1,1
273,54,148,54,,"554,545",5.744,,,"80,000",4.903,,,"610,000",0,"1,100",0,,0,0,1,0,0,0,0,0,0,0,1,1,Noakhali,Summer,2,1,Plastic,0,,,,,Buffalo milk,0,Tubewell water with detergents,0,2,0,1,0,0,1
277,68,187,68,,"1,954,545",6.291,,,"2,636,364",6.421,,,"2,150,000",0,"29,000",0,,0,0,1,0,0,0,0,0,0,0,4,1,Noakhali,Summer,2,,,,,,,,,,,,,,,,,
278,53,114,53,,"36,364",4.561,,,5455,3.737,1818,3.260,"36,364",0,"5,455","1,818",,0,0,0,0,0,0,0,0,0,0,3,0,Rajshahi,Spring,1,1,Aluminium,1,,3,1,1,1-Cow-buffalo mix milk,1,Tubewell water with detergents,0,1,1,0,,,1
280,52,109,52,,"99,090,909",7.996,,,6000000,6.778,5000000,6.699,"9,909,091",0,0,0,,0,0,1,1,1,0,1,1,0,0,3,0,Maulvibazar,Winter,0,1,Plastic,0,,4,0,0,Buffalo milk,0,Tubewell water with detergents,0,3,0,0,1,1,1
281,49,87,49,,"1,727,273",6.237,,,32727,4.515,7455,3.872,"1,727,273",0,0,0,,0,0,0,1,0,0,1,1,0,0,4,1,Maulvibazar,Winter,0,2,Aluminium,1,,3,1,1,1-Cow-buffalo mix milk,1,Tubewell water with detergents,0,3,1,1,1,1,0
282,50,99,50,,"198,181,818",8.297,,,43636,4.640,20909,4.320,"19,818,182",0,0,0,,0,0,1,1,1,0,1,1,0,0,4,1,Maulvibazar,Winter,0,1,Plastic,0,,1,2,1,1-Cow-buffalo mix milk,1,Tubewell water,0,2,1,1,1,1,1
283,51,97,51,,"16,363,636",7.214,,,11818,4.073,23636364,7.374,"16,363,636",0,"11,818","23,636,364",,0,0,1,1,0,0,1,1,0,0,4,1,Maulvibazar,Winter,0,1,Others,0,,1,2,1,1-Cow-buffalo mix milk,1,Tubewell water with detergents,0,2,1,0,,,1
